AB,R,H,2B,3B,HR,RBI,BB,HBP,K,SB,CS,AVG,OBP,SLG,OPS,Result
0,0,0,0,0,0,0,0,0,0,0,0,.121,.171,.182,.353,P
0,0,0,0,0,0,0,0,0,0,0,0,.121,.171,.182,.353,G
0,0,0,0,0,0,0,0,0,0,0,0,.121,.171,.182,.353,G
1,0,0,0,0,0,0,0,0,0,0,0,.121,.171,.182,.353,P
1,1,0,0,0,0,0,0,0,0,0,0,.125,.176,.188,.364,G
0,0,0,0,0,0,0,0,0,0,1,0,.129,.182,.194,.375,G
1,0,0,0,0,0,0,0,0,0,0,0,.129,.182,.194,.375,P
3,0,0,0,0,0,0,1,0,1,1,0,.133,.188,.200,.388,G
5,0,0,0,0,0,0,0,0,0,0,0,.148,.179,.222,.401,G
3,1,1,0,0,0,1,1,0,1,0,0,.182,.217,.273,.490,G
0,0,0,0,0,0,0,0,0,0,0,0,.158,.158,.263,.421,P
5,1,3,2,0,0,1,0,0,0,0,0,.158,.158,.263,.421,G
1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,G
1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,G
2,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,G
0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,G
3,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,P
